 ACQUISITION_TIME_SCET  TEC_CURRENT
      672702490.778809     0.050637
      672702491.778824     0.048497
      672702492.778793     0.047071
      672702493.778824     0.048497
      672702494.778763     0.050637
      672702495.778763     0.048497
      672702496.778763     0.046357
      672702497.778748     0.048497
      672702498.778763     0.050637
      672702499.778763     0.048497
      672702500.778748     0.047071
      672702501.778732     0.048497
      672702502.778732     0.050637
      672702503.778763     0.048497
      672702504.778748     0.047071
      672702505.778732     0.048497
      672702506.778687     0.050637
      672702507.778778     0.048497
      672702508.778702     0.046357
      672702509.778687     0.048497
      672702510.778793     0.050637
      672702511.778748     0.048497
      672702512.778671     0.047071
      672702513.778763     0.048497
      672702514.778671     0.050637
      672702515.778702     0.054917
      672702516.778671     0.052777
      672702517.778732     0.048497
      672702518.778656     0.050637
      672702519.778732     0.054917
      672702520.778687     0.046357
      672702521.778656     0.054203
      672702522.778717     0.050637
      672702523.778641     0.048497
      672702524.778641     0.046357
      672702525.778687     0.047784
      672702526.778656     0.050637
      672702527.778610     0.048497
      672702528.778656     0.046357
      672702529.778625     0.047784
      672702530.778580     0.049924
      672702531.778625     0.047784
      672702532.778580     0.046357
      672702533.778595     0.047784
      672702534.778641     0.049924
      672702535.778595     0.048497
      672702536.778625     0.046357
      672702537.778595     0.048497
      672702538.778641     0.049924
      672702539.778595     0.048497
      672702540.778641     0.046357
      672702541.778641     0.047784
      672702542.778564     0.050637
      672702543.778519     0.048497
      672702544.778534     0.046357
      672702545.778595     0.047784
      672702546.778534     0.049924
      672702547.778625     0.048497
      672702548.778580     0.046357
      672702549.778488     0.047784
      672702550.778595     0.050637
      672702551.778488     0.048497
      672702552.778580     0.046357
      672702553.778488     0.047784
      672702554.778580     0.049924
      672702555.778519     0.047784
      672702556.778549     0.049210
      672702557.778549     0.047784
      672702558.778503     0.049924
      672702559.778549     0.050637
      672702560.778473     0.046357
      672702561.778519     0.047071
      672702562.778473     0.049924
      672702563.778549     0.049924
      672702564.778488     0.049210
      672702565.778442     0.047071
      672702566.778488     0.046357
      672702567.778503     0.049924
      672702568.778473     0.049210
      672702569.778427     0.047071
      672702570.778519     0.046357
      672702571.778488     0.049924
      672702572.778427     0.049210
      672702573.778488     0.053490
      672702574.778397     0.052064
      672702575.778488     0.049924
      672702576.778397     0.048497
      672702577.778488     0.053490
      672702578.778427     0.052064
      672702579.778290     0.056343
      672702580.778381     0.048497
      672702581.778427     0.046357
      672702582.778351     0.045644
      672702583.778427     0.056343
      672702584.778351     0.048497
      672702585.778290     0.047071
      672702586.778381     0.045644
      672702587.778412     0.049924
      672702588.778351     0.048497
      672702589.778427     0.046357
      672702590.778351     0.046357
      672702591.778397     0.049924
      672702592.778336     0.049210
      672702593.778412     0.047071
      672702594.778397     0.046357
      672702595.778336     0.049924
      672702596.778397     0.049210
      672702597.778320     0.047071
      672702598.778381     0.046357
      672702599.778351     0.049924
      672702600.778412     0.048497
      672702601.778351     0.046357
      672702602.778351     0.045644
      672702603.778320     0.049924
      672702604.778351     0.049210
      672702605.778275     0.047071
      672702606.778336     0.046357
      672702607.778366     0.049924
      672702608.778351     0.049210
      672702609.778305     0.047071
      672702610.778351     0.045644
      672702611.778336     0.049924
      672702612.778336     0.048497
      672702613.778275     0.047071
      672702614.778320     0.046357
      672702615.778320     0.049924
      672702616.778305     0.048497
      672702617.778244     0.047071
      672702618.778290     0.046357
      672702619.778214     0.049924
      672702620.778320     0.049210
      672702621.778305     0.047071
      672702622.778290     0.046357
      672702623.778290     0.049924
      672702624.778229     0.048497
      672702625.778259     0.047071
      672702626.778183     0.046357
      672702627.778259     0.049924
      672702628.778183     0.049210
      672702629.778107     0.046357
      672702630.778137     0.046357
      672702631.778244     0.049924
      672702632.778168     0.049210
      672702633.778229     0.047071
      672702634.778183     0.046357
      672702635.778214     0.049924
      672702636.778214     0.048497
      672702637.778214     0.047071
      672702638.778198     0.046357
      672702639.778137     0.049924
      672702640.778198     0.049210
      672702641.778152     0.047071
      672702642.778168     0.046357
      672702643.778122     0.049924
      672702644.778152     0.049210
      672702645.778107     0.047071
      672702646.778152     0.046357
      672702647.778183     0.049924
      672702648.778122     0.049210
      672702649.778091     0.047071
      672702650.778168     0.046357
      672702651.778107     0.049924
      672702652.778168     0.048497
      672702653.778076     0.046357
      672702654.778107     0.046357
      672702655.778076     0.049924
      672702656.778152     0.048497
      672702657.777985     0.047071
      672702658.778122     0.046357
      672702659.778061     0.049924
      672702660.778030     0.048497
      672702661.778122     0.047071
      672702662.778137     0.046357
      672702663.778137     0.049924
      672702664.778107     0.049210
      672702665.778046     0.047071
      672702666.778030     0.046357
      672702667.778000     0.049924
      672702668.778107     0.049210
      672702669.778091     0.049924
      672702670.778015     0.046357
      672702671.778091     0.046357
      672702672.778061     0.049210
      672702673.777985     0.047071
      672702674.778046     0.047784
      672702675.778030     0.045644
      672702676.777985     0.049210
      672702677.778015     0.049924
      672702678.778000     0.047784
      672702679.778000     0.046357
      672702680.777969     0.049210
      672702681.778015     0.049924
      672702682.777985     0.047784
      672702683.777985     0.045644
      672702684.778015     0.049210
      672702685.777969     0.049924
      672702686.778030     0.047784
      672702687.777939     0.045644
      672702688.778000     0.049210
      672702689.778000     0.049924
      672702690.777939     0.053490
      672702691.777969     0.046357
      672702692.777908     0.049210
      672702693.778015     0.049924
      672702694.777924     0.047784
      672702695.777969     0.045644
      672702696.777908     0.049210
      672702697.777893     0.049924
      672702698.777969     0.047784
      672702699.777878     0.046357
      672702700.777954     0.049210
      672702701.777878     0.049924
      672702702.777969     0.047784
      672702703.777878     0.045644
      672702704.777954     0.049210
      672702705.777832     0.049924
      672702706.777893     0.047784
      672702707.777863     0.046357
      672702708.777939     0.049210
      672702709.777939     0.049924
      672702710.777817     0.047784
      672702711.777939     0.045644
      672702712.777847     0.049210
      672702713.777863     0.049924
      672702714.777893     0.047784
      672702715.777832     0.045644
      672702716.777908     0.055630
      672702717.777893     0.049924
      672702718.777817     0.047784
      672702719.777878     0.046357
      672702720.777832     0.049210
      672702721.777893     0.049924
      672702722.777863     0.047784
      672702723.777817     0.046357
      672702724.777817     0.049210
      672702725.777847     0.049924
      672702726.777817     0.047784
      672702727.777878     0.046357
      672702728.777802     0.049210
      672702729.777817     0.049924
      672702730.777847     0.047784
      672702731.777817     0.046357
      672702732.777771     0.049210
      672702733.777817     0.049924
      672702734.777786     0.047784
      672702735.777817     0.046357
      672702736.777771     0.049210
      672702737.777817     0.049924
      672702738.777802     0.047784
      672702739.777725     0.046357
      672702740.777634     0.049210
      672702741.777725     0.049924
      672702742.777786     0.047784
      672702743.777725     0.052777
      672702744.777786     0.048497
      672702745.777725     0.049924
      672702746.777756     0.047784
      672702747.777664     0.046357
      672702748.777786     0.049210
      672702749.777618     0.049924
      672702750.777786     0.047784
      672702751.777649     0.045644
      672702752.777740     0.049210
      672702753.777695     0.049924
      672702754.777756     0.047784
      672702755.777740     0.046357
      672702756.777679     0.049210
      672702757.777756     0.049924
      672702758.777725     0.047784
      672702759.777679     0.045644
      672702760.777740     0.049210
      672702761.777679     0.049924
      672702762.777695     0.047784
      672702763.777649     0.046357
      672702764.777725     0.049210
      672702765.777649     0.049924
      672702766.777649     0.047784
      672702767.777649     0.046357
      672702768.777679     0.049210
      672702769.777634     0.049924
      672702770.777679     0.047784
      672702771.777679     0.045644
      672702772.777649     0.055630
      672702773.777679     0.049924
      672702774.777664     0.054203
      672702775.777603     0.046357
      672702776.777679     0.049210
      672702777.777649     0.049924
      672702778.777573     0.047784
      672702779.777634     0.046357
      672702780.777588     0.049210
      672702781.777603     0.049924
      672702782.777588     0.047784
      672702783.777588     0.046357
      672702784.777618     0.046357
      672702785.777634     0.047071
      672702786.777542     0.047784
      672702787.777634     0.048497
      672702788.777603     0.046357
      672702789.777542     0.049924
      672702790.777588     0.050637
      672702791.777512     0.046357
      672702792.777603     0.046357
      672702793.777527     0.047784
      672702794.777496     0.049924
      672702795.777603     0.048497
      672702796.777542     0.046357
      672702797.777512     0.047071
      672702798.777527     0.050637
      672702799.777527     0.054917
      672702800.777557     0.046357
      672702801.777527     0.047784
      672702802.777527     0.050637
      672702803.777481     0.048497
      672702804.777557     0.047071
      672702805.777481     0.047784
      672702806.777542     0.050637
      672702807.777481     0.054917
      672702808.777542     0.046357
      672702809.777466     0.047784
      672702810.777512     0.050637
      672702811.777466     0.048497
      672702812.777512     0.046357
      672702813.777466     0.047784
      672702814.777512     0.050637
      672702815.777466     0.049210
      672702816.777512     0.046357
      672702817.777496     0.047071
      672702818.777435     0.050637
      672702819.777496     0.048497
      672702820.777512     0.052777
      672702821.777420     0.047071
      672702822.777466     0.057057
      672702823.777405     0.048497
      672702824.777466     0.046357
      672702825.777390     0.047071
      672702826.777374     0.050637
      672702827.777420     0.048497
      672702828.777390     0.046357
      672702829.777405     0.047784
      672702830.777451     0.049924
      672702831.777390     0.048497
      672702832.777374     0.046357
      672702833.777420     0.047784
      672702834.777374     0.050637
      672702835.777435     0.048497
      672702836.777328     0.046357
      672702837.777451     0.047784
      672702838.777390     0.057057
      672702839.777344     0.054917
      672702840.777313     0.046357
      672702841.777420     0.047784
      672702842.777313     0.050637
      672702843.777390     0.048497
      672702844.777344     0.046357
      672702845.777405     0.047071
      672702846.777328     0.050637
      672702847.777405     0.048497
      672702848.777328     0.046357
      672702849.777374     0.047784
      672702850.777328     0.050637
      672702851.777374     0.048497
      672702852.777313     0.046357
      672702853.777390     0.047784
      672702854.777344     0.050637
      672702855.777328     0.048497
