       ACQUISITION_TIME_UTC, ACQUISITION_TIME_SCET, LAST_EVENT, COMMANDED_TEST_MODE, COMMANDED_TEC_STATUS, COMMANDED_DETECTOR_STATUS, COMMANDED_TEC_TREF, COMMANDED_TEC_N_P, COMMANDED_TEC_N_I, COMMANDED_TEC_N_E, ANTI_WIND-UP_STATUS, ANTI_WIND-UP_METHOD, COMMANDED_TEC_N_SS, PE_ADDRESS, PE_ADDRESS_CONTENT, TEMPERATURE_FPA_1, TEMPERATURE_FPA_2, TEMPERATURE_PE, TEMPERATURE_FPA_PACKAGE, TEMPERATURE_STC_OPTICAL_BENCH, VOLTAGE_AT_3.3V, TEC_CURRENT
2020-12-14T21:45:39.053071Z,      672702337.779419,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.196451,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:40.053148Z,      672702338.779495,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.277046,     271.304565,              269.396940,                    268.557394,        3.260543,    0.001421
2020-12-14T21:45:41.053132Z,      672702339.779480,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:42.053117Z,      672702340.779465,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.259602,    0.000707
2020-12-14T21:45:43.053148Z,      672702341.779495,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:44.053117Z,      672702342.779465,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.259602,    0.000707
2020-12-14T21:45:45.053117Z,      672702343.779465,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:46.053163Z,      672702344.779510,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.449408,        3.260543,    0.000707
2020-12-14T21:45:47.053102Z,      672702345.779449,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.304565,              269.396940,                    268.557394,        3.260543,    0.000707
2020-12-14T21:45:48.053163Z,      672702346.779510,          0,                   0,                    0,                         0,                  0,                 0,                 0,                 0,                   0,                   0,                  0,          0,                  0,        269.982885,        270.366581,     271.412679,              269.396940,                    268.557394,        3.260543,    0.001421
